Id,Noun,Article,Category,Image,Audio,AnswerAudio
kaffee,Kaffee,der,food,assets/images/420/food/Kaffee.png,assets/audio/Kaffee.mp3,assets/audio/der Kaffee.mp3
kapuzenpullover,Kapuzenpullover,der,clothing,assets/images/420/clothing/Kapuzenpullover.png,assets/audio/Kapuzenpullover.mp3,assets/audio/der Kapuzenpullover.mp3
karotte,Karotte,die,food,assets/images/420/food/Karotte.png,assets/audio/Karotte.mp3,assets/audio/die Karotte.mp3
kartoffel,Kartoffel,die,food,assets/images/420/food/Kartoffel.png,assets/audio/Kartoffel.mp3,assets/audio/die Kartoffel.mp3
katze,Katze,die,animals,assets/images/420/animals/Katze.png,assets/audio/Katze.mp3,assets/audio/die Katze.mp3
kellner,Kellner,der,people,assets/images/420/people/Kellner.png,assets/audio/Kellner.mp3,assets/audio/der Kellner.mp3
kellnerin,Kellnerin,die,people,assets/images/420/people/Kellnerin.png,assets/audio/Kellnerin.mp3,assets/audio/die Kellnerin.mp3
kissen,Kissen,das,home,assets/images/420/home/Kissen.png,assets/audio/Kissen.mp3,assets/audio/das Kissen.mp3
kleid,Kleid,das,clothing,assets/images/420/clothing/Kleid.png,assets/audio/Kleid.mp3,assets/audio/das Kleid.mp3
knoblauch,Knoblauch,der,food,assets/images/420/food/Knoblauch.png,assets/audio/Knoblauch.mp3,assets/audio/der Knoblauch.mp3
kohl,Kohl,der,food,assets/images/420/food/Kohl.png,assets/audio/Kohl.mp3,assets/audio/der Kohl.mp3
kopfsalat,Kopfsalat,der,food,assets/images/420/food/Kopfsalat.png,assets/audio/Kopfsalat.mp3,assets/audio/der Kopfsalat.mp3
krawatte,Krawatte,die,clothing,assets/images/420/clothing/Krawatte.png,assets/audio/Krawatte.mp3,assets/audio/die Krawatte.mp3
kuerbis,Kürbis,der,food,assets/images/420/food/Kuerbis.png,assets/audio/Kuerbis.mp3,assets/audio/der Kuerbis.mp3
kuh,Kuh,die,animals,assets/images/420/animals/Kuh.png,assets/audio/Kuh.mp3,assets/audio/die Kuh.mp3
lampe,Lampe,die,home,assets/images/420/home/Lampe.png,assets/audio/Lampe.mp3,assets/audio/die Lampe.mp3
lebensmittel,Lebensmittel,die,food,assets/images/420/food/Lebensmittel.png,assets/audio/Lebensmittel.mp3,assets/audio/die Lebensmittel.mp3
lederjacke,Lederjacke,die,clothing,assets/images/420/clothing/Lederjacke.png,assets/audio/Lederjacke.mp3,assets/audio/die Lederjacke.mp3
lineal,Lineal,das,school,assets/images/420/school/Lineal.png,assets/audio/Lineal.mp3,assets/audio/das Lineal.mp3
loeffel,Löffel,der,home,assets/images/420/home/Loeffel.png,assets/audio/Loeffel.mp3,assets/audio/der Loeffel.mp3
mais,Mais,der,food,assets/images/420/food/Mais.png,assets/audio/Mais.mp3,assets/audio/der Mais.mp3
maus,Maus,die,animals,assets/images/420/animals/Maus.png,assets/audio/Maus.mp3,assets/audio/die Maus.mp3
messer,Messer,das,home,assets/images/420/home/Messer.png,assets/audio/Messer.mp3,assets/audio/das Messer.mp3
mond,Mond,der,nature,assets/images/420/nature/Mond.png,assets/audio/Mond.mp3,assets/audio/der Mond.mp3
orange,Orange,die,food,assets/images/420/food/Orange.png,assets/audio/Orange.mp3,assets/audio/die Orange.mp3
papagei,Papagei,der,animals,assets/images/420/animals/Papagei.png,assets/audio/Papagei.mp3,assets/audio/der Papagei.mp3
paprika,Paprika,die,food,assets/images/420/food/Paprika.png,assets/audio/Paprika.mp3,assets/audio/die Paprika.mp3
pfeffer,Pfeffer,der,food,assets/images/420/food/Pfeffer.png,assets/audio/Pfeffer.mp3,assets/audio/der Pfeffer.mp3
pferd,Pferd,das,animals,assets/images/420/animals/Pferd.png,assets/audio/Pferd.mp3,assets/audio/das Pferd.mp3
pflanze,Pflanze,die,nature,assets/images/420/nature/Pflanze.png,assets/audio/Pflanze.mp3,assets/audio/die Pflanze.mp3
pizza,Pizza,die,food,assets/images/420/food/Pizza.png,assets/audio/Pizza.mp3,assets/audio/die Pizza.mp3
polizist,Polizist,der,people,assets/images/420/people/Polizist.png,assets/audio/Polizist.mp3,assets/audio/der Polizist.mp3
polizistin,Polizistin,die,people,assets/images/420/people/Polizistin.png,assets/audio/Polizistin.mp3,assets/audio/die Polizistin.mp3
pullover,Pullover,der,clothing,assets/images/420/clothing/Pullover.png,assets/audio/Pullover.mp3,assets/audio/der Pullover.mp3
pyjama,Pyjama,der,clothing,assets/images/420/clothing/Pyjama.png,assets/audio/Pyjama.mp3,assets/audio/der Pyjama.mp3
radiergummi,Radiergummi,das,school,assets/images/420/school/Radiergummi.png,assets/audio/Radiergummi.mp3,assets/audio/das Radiergummi.mp3
